base_currency,target_currency,exchange_rate
DKK,MXN,2.9355478699160833
DKK,MYR,0.6505670393308132
DKK,NZD,0.2517091611035148
DKK,PHP,8.383736829405613
DKK,SGD,0.19496501246682216
DKK,THB,4.912464141129789
DKK,ZAR,2.641947505295048
GBP,EUR,1.1880294156083304
GBP,USD,1.2970905159611754
GBP,JPY,194.24280945196205
GBP,BGN,2.3235479310467726
GBP,CZK,29.745880508001378
GBP,DKK,8.862461834555024
GBP,GBP,1.0
GBP,HUF,472.03972770365795
GBP,PLN,4.960022810164779
GBP,RON,5.913297613248904
GBP,SEK,13.06475948344481
GBP,CHF,1.140627041925558
GBP,ISK,173.09588585413374
GBP,NOK,13.695603103132834
GBP,TRY,47.54493721264539
GBP,AUD,2.037114038943604
GBP,BRL,7.376593444453685
GBP,CAD,1.8532070854074347
